Timestamp,Production (kW)
01/01/2014,11.42
01/02/2014,22.90
01/03/2014,15.42
01/04/2014,21.65
01/05/2014,25.61
01/06/2014,22.81
01/07/2014,23.68
01/08/2014,23.86
01/09/2014,6.98
01/10/2014,8.11
01/11/2014,8.34
01/12/2014,15.51
01/13/2014,6.51
01/14/2014,15.54
01/15/2014,4.16
01/16/2014,21.17
01/17/2014,21.20
01/18/2014,22.66
01/19/2014,22.49
01/20/2014,20.78
01/21/2014,13.17
01/22/2014,18.68
01/23/2014,19.45
01/24/2014,24.92
01/25/2014,23.79
01/26/2014,25.73
01/27/2014,17.34
01/28/2014,20.66
01/29/2014,15.18
01/30/2014,10.07
01/31/2014,21.56
02/01/2014,25.16
02/02/2014,24.70
02/03/2014,9.96
02/04/2014,8.81
02/05/2014,13.03
02/06/2014,23.49
02/07/2014,13.58
02/08/2014,24.34
02/09/2014,23.86
02/10/2014,26.44
02/11/2014,25.26
02/12/2014,21.80
02/13/2014,6.80
02/14/2014,3.63
02/15/2014,17.22
02/16/2014,24.14
02/17/2014,20.29
02/18/2014,19.44
02/19/2014,22.59
02/20/2014,25.71
02/21/2014,17.53
02/22/2014,11.88
02/23/2014,10.76
02/24/2014,25.67
02/25/2014,12.51
02/26/2014,12.80
02/27/2014,11.24
02/28/2014,13.63
03/01/2014,6.03
03/02/2014,3.72
03/03/2014,17.94
03/04/2014,15.82
03/05/2014,26.09
03/06/2014,24.96
03/07/2014,23.58
03/08/2014,26.04
03/09/2014,6.08
03/10/2014,8.54
03/11/2014,20.70
03/12/2014,23.16
03/13/2014,10.52
03/14/2014,18.29
03/15/2014,23.02
03/16/2014,25.02
03/17/2014,18.38
03/18/2014,9.90
03/19/2014,8.81
03/20/2014,19.97
03/21/2014,20.62
03/22/2014,13.98
03/23/2014,25.52
03/24/2014,25.60
03/25/2014,23.86
03/26/2014,23.62
03/27/2014,12.39
03/28/2014,13.14
03/29/2014,22.69
03/30/2014,19.36
03/31/2014,17.95
04/01/2014,24.51
04/02/2014,13.10
04/03/2014,10.04
04/04/2014,18.76
04/05/2014,16.58
04/06/2014,22.27
04/07/2014,17.61
04/08/2014,5.60
04/09/2014,18.17
04/10/2014,16.04
04/11/2014,9.73
04/12/2014,13.74
04/13/2014,10.41
04/14/2014,24.83
04/15/2014,26.79
04/16/2014,12.90
04/17/2014,7.21
04/18/2014,10.22
04/19/2014,16.69
04/20/2014,22.58
04/21/2014,22.64
04/22/2014,23.33
04/23/2014,22.17
04/24/2014,21.70
04/25/2014,3.42
04/26/2014,23.14
04/27/2014,17.73
04/28/2014,11.54
04/29/2014,18.37
04/30/2014,21.24
05/01/2014,24.71
05/02/2014,10.44
05/03/2014,12.04
05/04/2014,6.22
05/05/2014,20.89
05/06/2014,19.29
05/07/2014,9.11
05/08/2014,23.67
05/09/2014,19.76
05/10/2014,8.50
05/11/2014,10.75
05/12/2014,16.67
05/13/2014,15.60
05/14/2014,3.09
05/15/2014,6.65
05/16/2014,4.93
05/17/2014,21.52
05/18/2014,17.29
05/19/2014,8.88
05/20/2014,15.14
05/21/2014,22.23
05/22/2014,19.59
05/23/2014,14.49
05/24/2014,4.91
05/25/2014,18.59
05/26/2014,24.86
05/27/2014,25.63
05/28/2014,23.77
05/29/2014,8.87
05/30/2014,16.62
05/31/2014,6.82
06/01/2014,15.09
06/02/2014,20.55
06/03/2014,15.36
06/04/2014,20.93
06/05/2014,21.02
06/06/2014,16.89
06/07/2014,7.35
06/08/2014,4.42
06/09/2014,2.83
06/10/2014,2.92
06/11/2014,15.83
06/12/2014,12.64
06/13/2014,12.25
06/14/2014,7.10
06/15/2014,15.14
06/16/2014,24.57
06/17/2014,8.11
06/18/2014,23.94
06/19/2014,27.43
06/20/2014,18.29
06/21/2014,2.98
06/22/2014,18.11
06/23/2014,15.12
06/24/2014,19.46
06/25/2014,10.77
06/26/2014,22.96
06/27/2014,21.61
06/28/2014,22.82
06/29/2014,6.32
06/30/2014,10.49
07/01/2014,21.62
07/02/2014,24.22
07/03/2014,23.95
07/04/2014,10.90
07/05/2014,2.91
07/06/2014,4.84
07/07/2014,18.73
07/08/2014,16.97
