Timestamp,Production (kW)
01/01 00,0.00
01/01 01,0.00
01/01 02,0.00
01/01 03,0.00
01/01 04,0.00
01/01 05,2.25
01/01 06,7.23
01/01 07,16.20
01/01 08,24.16
01/01 09,27.87
01/01 10,26.37
01/01 11,28.40
01/01 12,30.90
01/01 13,28.53
01/01 14,32.38
01/01 15,28.80
01/01 16,15.17
01/01 17,4.91
01/01 18,1.03
01/01 19,0.00
01/01 20,0.00
01/01 21,0.00
01/01 22,0.00
01/01 23,0.00
01/02 00,0.00
01/02 01,0.00
01/02 02,0.00
01/02 03,0.00
01/02 04,0.00
01/02 05,2.23
01/02 06,12.30
01/02 07,30.45
01/02 08,48.98
01/02 09,61.90
01/02 10,69.48
01/02 11,73.27
01/02 12,72.27
01/02 13,65.99
01/02 14,54.09
01/02 15,36.76
01/02 16,16.80
01/02 17,4.23
01/02 18,0.94
01/02 19,0.00
01/02 20,0.00
01/02 21,0.00
01/02 22,0.00
01/02 23,0.00
01/03 00,0.00
01/03 01,0.00
01/03 02,0.00
01/03 03,0.00
01/03 04,0.00
01/03 05,2.80
01/03 06,9.10
01/03 07,18.00
01/03 08,33.30
01/03 09,47.70
01/03 10,52.13
01/03 11,51.70
01/03 12,46.35
01/03 13,34.71
01/03 14,26.49
01/03 15,25.66
01/03 16,16.78
01/03 17,4.46
01/03 18,0.98
01/03 19,0.00
01/03 20,0.00
01/03 21,0.00
01/03 22,0.00
01/03 23,0.00
01/04 00,0.00
01/04 01,0.00
01/04 02,0.00
01/04 03,0.00
01/04 04,0.00
01/04 05,2.29
01/04 06,11.97
01/04 07,28.88
01/04 08,45.12
01/04 09,55.89
01/04 10,63.74
01/04 11,68.53
01/04 12,67.40
01/04 13,63.10
01/04 14,53.01
01/04 15,35.49
01/04 16,17.88
01/04 17,5.60
01/04 18,0.65
01/04 19,0.00
01/04 20,0.00
01/04 21,0.00
01/04 22,0.00
01/04 23,0.00
01/05 00,0.00
01/05 01,0.00
01/05 02,0.00
01/05 03,0.00
01/05 04,0.00
01/05 05,1.78
01/05 06,12.14
01/05 07,32.54
01/05 08,54.05
01/05 09,70.09
01/05 10,79.65
01/05 11,83.27
01/05 12,81.60
01/05 13,74.24
01/05 14,60.60
01/05 15,41.10
01/05 16,18.37
01/05 17,4.26
01/05 18,0.97
01/05 19,0.00
01/05 20,0.00
01/05 21,0.00
01/05 22,0.00
01/05 23,0.00
01/06 00,0.00
01/06 01,0.00
01/06 02,0.00
01/06 03,0.00
01/06 04,0.00
01/06 05,2.26
01/06 06,12.32
01/06 07,31.18
01/06 08,49.21
01/06 09,61.09
01/06 10,70.33
01/06 11,75.70
01/06 12,72.75
01/06 13,63.27
01/06 14,50.33
01/06 15,34.35
01/06 16,18.14
01/06 17,5.90
01/06 18,0.73
01/06 19,0.00
01/06 20,0.00
01/06 21,0.00
01/06 22,0.00
01/06 23,0.00
01/07 00,0.00
01/07 01,0.00
01/07 02,0.00
01/07 03,0.00
01/07 04,0.00
01/07 05,1.91
01/07 06,11.77
01/07 07,30.68
01/07 08,50.48
01/07 09,65.00
01/07 10,73.53
01/07 11,76.48
01/07 12,74.48
01/07 13,67.62
01/07 14,55.32
01/07 15,37.85
01/07 16,17.65
01/07 17,4.58
01/07 18,0.90
01/07 19,0.00
01/07 20,0.00
01/07 21,0.00
01/07 22,0.00
01/07 23,0.00
01/08 00,0.00
01/08 01,0.00
01/08 02,0.00
01/08 03,0.00
01/08 04,0.00
01/08 05,1.82
01/08 06,11.64
01/08 07,30.68
01/08 08,50.75
01/08 09,65.54
01/08 10,73.99
01/08 11,76.80
01/08 12,74.80
01/08 13,68.12
01/08 14,56.12
01/08 15,38.68
01/08 16,18.05
01/08 17,4.60
01/08 18,0.94
01/08 19,0.00
01/08 20,0.00
01/08 21,0.00
01/08 22,0.00
01/08 23,0.00
01/09 00,0.00
01/09 01,0.00
01/09 02,0.00
01/09 03,0.00
01/09 04,0.00
01/09 05,1.32
01/09 06,5.65
01/09 07,9.64
01/09 08,13.00
01/09 09,18.23
01/09 10,21.76
01/09 11,21.12
01/09 12,19.81
01/09 13,16.86
01/09 14,14.36
01/09 15,13.15
01/09 16,8.69
01/09 17,3.45
01/09 18,0.37
01/09 19,0.00
01/09 20,0.00
01/09 21,0.00
01/09 22,0.00
01/09 23,0.00
01/10 00,0.00
01/10 01,0.00
01/10 02,0.00
01/10 03,0.00
01/10 04,0.00
01/10 05,1.72
01/10 06,6.08
01/10 07,11.63
01/10 08,16.78
01/10 09,20.88
01/10 10,24.95
01/10 11,28.88
01/10 12,28.67
01/10 13,21.78
01/10 14,15.50
01/10 15,11.39
01/10 16,5.27
01/10 17,1.03
01/10 18,0.00
01/10 19,0.00
01/10 20,0.00
01/10 21,0.00
01/10 22,0.00
01/10 23,0.00
01/11 00,0.00
01/11 01,0.00
01/11 02,0.00
01/11 03,0.00
01/11 04,0.00
01/11 05,1.32
01/11 06,4.98
01/11 07,9.86
01/11 08,11.40
01/11 09,9.57
01/11 10,17.72
01/11 11,27.33
01/11 12,26.60
01/11 13,26.60
01/11 14,26.39
01/11 15,21.00
01/11 16,12.46
01/11 17,4.42
01/11 18,0.45
01/11 19,0.00
01/11 20,0.00
01/11 21,0.00
01/11 22,0.00
01/11 23,0.00
01/12 00,0.00
01/12 01,0.00
01/12 02,0.00
01/12 03,0.00
01/12 04,0.00
01/12 05,2.20
01/12 06,9.52
01/12 07,22.88
01/12 08,38.83
01/12 09,46.25
01/12 10,43.45
01/12 11,40.00
01/12 12,41.91
01/12 13,39.77
01/12 14,34.50
01/12 15,28.96
01/12 16,16.68
01/12 17,6.19
01/12 18,1.15
01/12 19,0.00
01/12 20,0.00
01/12 21,0.00
01/12 22,0.00
01/12 23,0.00
01/13 00,0.00
01/13 01,0.00
01/13 02,0.00
01/13 03,0.00
01/13 04,0.00
01/13 05,1.01
01/13 06,4.28
01/13 07,8.49
01/13 08,12.80
01/13 09,16.50
01/13 10,17.03
01/13 11,17.42
01/13 12,20.18
01/13 13,19.59
01/13 14,16.07
01/13 15,12.28
01/13 16,7.27
01/13 17,2.86
01/13 18,0.40
01/13 19,0.00
01/13 20,0.00
01/13 21,0.00
01/13 22,0.00
01/13 23,0.00
01/14 00,0.00
01/14 01,0.00
01/14 02,0.00
01/14 03,0.00
01/14 04,0.00
01/14 05,1.97
01/14 06,12.78
01/14 07,33.77
01/14 08,55.32
01/14 09,71.02
01/14 10,57.27
01/14 11,32.65
01/14 12,30.03
01/14 13,26.79
01/14 14,22.17
01/14 15,17.38
01/14 16,9.03
01/14 17,2.87
01/14 18,0.00
01/14 19,0.00
01/14 20,0.00
01/14 21,0.00
01/14 22,0.00
01/14 23,0.00
01/15 00,0.00
01/15 01,0.00
01/15 02,0.00
01/15 03,0.00
01/15 04,0.00
01/15 05,0.63
01/15 06,2.66
01/15 07,5.85
01/15 08,9.45
01/15 09,11.80
01/15 10,12.01
01/15 11,11.60
01/15 12,11.20
01/15 13,10.84
01/15 14,10.17
01/15 15,7.85
01/15 16,4.55
01/15 17,1.36
01/15 18,0.00
01/15 19,0.00
01/15 20,0.00
01/15 21,0.00
01/15 22,0.00
01/15 23,0.00
01/16 00,0.00
01/16 01,0.00
01/16 02,0.00
01/16 03,0.00
01/16 04,0.00
01/16 05,2.08
01/16 06,11.27
