Timestamp,Production (kW),Load kW,Load kVA
01/01 00,0.0,268.3,288.1
01/01 01,0.0,268.3,288.1
01/01 02,0.0,262.2,281.6
01/01 03,0.0,252.2,270.9
01/01 04,0.0,249.2,267.7
01/01 05,2.25,237.3,254.9
01/01 06,7.23,234.3,251.6
01/01 07,16.2,245.1,263.3
01/01 08,24.16,249.3,267.8
01/01 09,27.87,257.5,276.6
01/01 10,26.37,267.7,287.5
01/01 11,28.4,274.2,294.5
01/01 12,30.9,277.3,297.8
01/01 13,28.53,268.2,288.1
01/01 14,32.38,249.4,267.9
01/01 15,28.8,232.2,249.4
01/01 16,15.17,232.4,249.7
01/01 17,4.91,239.0,261.9
01/01 18,1.03,266.2,301.0
01/01 19,0.0,276.4,296.9
01/01 20,0.0,273.0,296.2
01/01 21,0.0,267.9,287.7
01/01 22,0.0,264.1,283.7
01/01 23,0.0,250.3,268.9
01/02 00,0.0,241.3,259.2
01/02 01,0.0,228.1,245.0
01/02 02,0.0,231.0,248.1
01/02 03,0.0,231.5,248.6
01/02 04,0.0,239.8,257.6
01/02 05,2.23,235.0,252.5
01/02 06,12.3,230.0,247.1
01/02 07,30.45,239.7,257.5
01/02 08,48.98,239.0,256.7
01/02 09,61.9,234.5,251.9
01/02 10,69.48,235.6,253.1
01/02 11,73.27,225.6,242.3
01/02 12,72.27,232.5,249.8
01/02 13,65.99,228.6,245.5
01/02 14,54.09,225.7,242.4
01/02 15,36.76,214.8,230.7
01/02 16,16.8,221.5,237.9
01/02 17,4.23,224.4,270.9
01/02 18,0.94,249.6,268.1
01/02 19,0.0,273.5,293.8
01/02 20,0.0,267.9,309.4
01/02 21,0.0,261.9,309.1
01/02 22,0.0,251.9,314.6
01/02 23,0.0,234.1,279.4
01/03 00,0.0,227.7,244.6
01/03 01,0.0,221.2,237.6
01/03 02,0.0,221.5,237.9
01/03 03,0.0,223.4,240.0
01/03 04,0.0,218.0,234.1
01/03 05,2.8,238.3,255.9
01/03 06,9.1,266.5,286.3
01/03 07,18.0,233.5,250.8
01/03 08,33.3,236.5,254.0
01/03 09,47.7,240.2,258.0
01/03 10,52.13,246.2,264.5
01/03 11,51.7,255.5,274.4
01/03 12,46.35,262.6,282.0
01/03 13,34.71,258.9,278.1
01/03 14,26.49,249.0,267.5
01/03 15,25.66,238.8,267.2
01/03 16,16.78,234.8,274.1
01/03 17,4.46,248.6,275.3
01/03 18,0.98,265.0,284.7
01/03 19,0.0,277.0,350.1
01/03 20,0.0,276.6,297.1
01/03 21,0.0,262.1,281.5
01/03 22,0.0,247.6,302.3
01/03 23,0.0,232.4,274.3
01/04 00,0.0,224.5,241.2
01/04 01,0.0,212.3,228.0
01/04 02,0.0,216.5,232.5
01/04 03,0.0,223.4,240.0
01/04 04,0.0,225.1,241.8
01/04 05,2.29,248.9,267.3
01/04 06,11.97,254.6,273.5
01/04 07,28.88,219.7,236.0
01/04 08,45.12,219.0,235.2
01/04 09,55.89,234.1,251.4
01/04 10,63.74,247.0,265.3
01/04 11,68.53,250.4,269.0
01/04 12,67.4,262.2,281.6
01/04 13,63.1,262.6,282.1
01/04 14,53.01,248.4,266.8
01/04 15,35.49,244.5,265.3
01/04 16,17.88,240.3,258.1
01/04 17,5.6,253.1,271.9
01/04 18,0.65,267.3,315.5
