Timestamp,Load kW,Load kVA
1/1/90 0:00,268.3,288.1
1/1/90 1:00,268.3,288.1
1/1/90 2:00,262.2,281.6
1/1/90 3:00,252.2,270.9
1/1/90 4:00,249.2,267.7
1/1/90 5:00,237.3,254.9
1/1/90 6:00,234.3,251.6
1/1/90 7:00,245.1,263.3
1/1/90 8:00,249.3,267.8
1/1/90 9:00,257.5,276.6
1/1/90 10:00,267.7,287.5
1/1/90 11:00,274.2,294.5
1/1/90 12:00,277.3,297.8
1/1/90 13:00,268.2,288.1
1/1/90 14:00,249.4,267.9
1/1/90 15:00,232.2,249.4
1/1/90 16:00,232.4,249.7
1/1/90 17:00,239.0,261.9
1/1/90 18:00,266.2,301.0
1/1/90 19:00,276.4,296.9
1/1/90 20:00,273.0,296.2
1/1/90 21:00,267.9,287.7
1/1/90 22:00,264.1,283.7
1/1/90 23:00,250.3,268.9
1/2/90 0:00,241.3,259.2
1/2/90 1:00,228.1,245.0
1/2/90 2:00,231.0,248.1
1/2/90 3:00,231.5,248.6
1/2/90 4:00,239.8,257.6
1/2/90 5:00,235.0,252.5
1/2/90 6:00,230.0,247.1
1/2/90 7:00,239.7,257.5
1/2/90 8:00,239.0,256.7
1/2/90 9:00,234.5,251.9
1/2/90 10:00,235.6,253.1
1/2/90 11:00,225.6,242.3
1/2/90 12:00,232.5,249.8
1/2/90 13:00,228.6,245.5
1/2/90 14:00,225.7,242.4
1/2/90 15:00,214.8,230.7
1/2/90 16:00,221.5,237.9
1/2/90 17:00,224.4,270.9
1/2/90 18:00,249.6,268.1
1/2/90 19:00,273.5,293.8
1/2/90 20:00,267.9,309.4
1/2/90 21:00,261.9,309.1
1/2/90 22:00,251.9,314.6
1/2/90 23:00,234.1,279.4
1/3/90 0:00,227.7,244.6
1/3/90 1:00,221.2,237.6
1/3/90 2:00,221.5,237.9
1/3/90 3:00,223.4,240.0
1/3/90 4:00,218.0,234.1
1/3/90 5:00,238.3,255.9
1/3/90 6:00,266.5,286.3
1/3/90 7:00,233.5,250.8
1/3/90 8:00,236.5,254.0
1/3/90 9:00,240.2,258.0
1/3/90 10:00,246.2,264.5
1/3/90 11:00,255.5,274.4
1/3/90 12:00,262.6,282.0
1/3/90 13:00,258.9,278.1
1/3/90 14:00,249.0,267.5
1/3/90 15:00,238.8,267.2
1/3/90 16:00,234.8,274.1
