Timestamp,Load kW,Load kVA
01/01/1990,256.75,267.95
01/02/1990,237.40,249.04
01/03/1990,245.08,256.51
01/04/1990,247.16,258.59
01/05/1990,237.83,247.23
01/06/1990,230.02,240.15
01/07/1990,243.08,253.70
01/08/1990,241.39,252.72
01/09/1990,240.25,252.24
01/10/1990,229.96,240.32
01/11/1990,232.45,243.14
01/12/1990,237.23,248.77
01/13/1990,253.78,264.67
01/14/1990,260.74,271.67
01/15/1990,262.94,273.97
01/16/1990,269.73,281.26
01/17/1990,265.81,278.09
01/18/1990,258.27,269.75
01/19/1990,253.96,266.84
01/20/1990,269.73,280.82
01/21/1990,271.93,283.04
01/22/1990,248.46,258.33
01/23/1990,241.98,252.74
01/24/1990,259.70,273.13
01/25/1990,283.73,296.25
01/26/1990,282.67,295.35
01/27/1990,290.85,303.45
01/28/1990,301.79,314.15
01/29/1990,298.06,310.78
01/30/1990,309.75,324.75
01/31/1990,306.27,321.25
02/01/1990,294.00,308.12
02/02/1990,263.97,274.67
02/03/1990,244.39,254.09
02/04/1990,252.53,263.07
02/05/1990,274.53,286.10
02/06/1990,286.25,297.49
02/07/1990,258.46,268.40
02/08/1990,246.85,257.68
02/09/1990,248.97,259.39
02/10/1990,262.82,274.62
02/11/1990,264.15,275.40
02/12/1990,261.98,272.81
02/13/1990,268.84,280.98
02/14/1990,271.01,282.66
02/15/1990,261.65,273.53
02/16/1990,243.63,255.09
02/17/1990,274.69,287.11
02/18/1990,286.07,298.72
02/19/1990,283.76,298.03
02/20/1990,285.59,297.88
02/21/1990,290.98,304.59
02/22/1990,291.82,305.88
02/23/1990,267.06,278.30
02/24/1990,292.97,305.47
02/25/1990,291.91,304.40
02/26/1990,294.82,307.48
02/27/1990,305.33,317.65
02/28/1990,299.95,312.91
03/01/1990,256.49,266.90
03/02/1990,230.67,242.20
03/03/1990,256.60,268.82
03/04/1990,266.62,278.42
03/05/1990,256.10,267.60
03/06/1990,275.12,286.77
03/07/1990,282.53,294.70
03/08/1990,277.07,289.10
03/09/1990,261.08,271.28
03/10/1990,286.16,298.40
03/11/1990,302.61,314.68
03/12/1990,297.55,310.38
03/13/1990,303.73,318.54
03/14/1990,297.01,310.95
03/15/1990,272.39,284.46
03/16/1990,251.12,261.58
03/17/1990,288.11,300.59
03/18/1990,299.02,311.70
03/19/1990,296.48,308.75
03/20/1990,302.64,315.76
03/21/1990,303.84,317.66
03/22/1990,276.03,289.90
03/23/1990,254.92,265.79
03/24/1990,277.97,290.23
03/25/1990,294.65,306.92
03/26/1990,295.73,309.63
03/27/1990,292.26,305.06
03/28/1990,289.47,301.76
03/29/1990,273.81,288.40
03/30/1990,272.02,283.87
03/31/1990,272.03,283.85
04/01/1990,284.78,296.62
04/02/1990,277.28,289.21
04/03/1990,268.65,279.96
04/04/1990,269.28,280.75
04/05/1990,261.58,273.67
04/06/1990,258.90,270.28
04/07/1990,257.73,269.44
04/08/1990,264.48,276.30
04/09/1990,262.21,273.51
04/10/1990,266.24,277.74
04/11/1990,267.78,279.19
04/12/1990,265.51,277.56
04/13/1990,262.52,274.09
04/14/1990,276.75,288.24
04/15/1990,272.77,284.09
04/16/1990,273.52,285.28
04/17/1990,285.33,299.25
04/18/1990,271.55,283.37
04/19/1990,253.35,264.19
04/20/1990,240.02,250.86
04/21/1990,236.62,247.50
04/22/1990,258.06,269.27
04/23/1990,265.57,277.18
04/24/1990,291.44,303.82
04/25/1990,281.76,295.04
04/26/1990,276.38,288.60
04/27/1990,242.45,252.54
04/28/1990,255.09,267.03
04/29/1990,246.92,257.79
04/30/1990,236.94,247.02
05/01/1990,216.81,226.39
05/02/1990,241.30,251.85
05/03/1990,232.68,243.81
05/04/1990,241.03,252.65
05/05/1990,260.15,272.07
05/06/1990,261.87,272.56
05/07/1990,257.63,270.00
05/08/1990,244.75,255.20
05/09/1990,276.65,288.78
05/10/1990,277.31,289.35
05/11/1990,241.22,251.30
05/12/1990,266.84,279.28
05/13/1990,275.84,288.60
05/14/1990,263.93,275.81
05/15/1990,283.58,295.20
05/16/1990,281.16,294.39
05/17/1990,267.84,279.25
05/18/1990,261.24,272.46
05/19/1990,281.39,292.95
05/20/1990,273.65,284.53
05/21/1990,267.14,278.41
05/22/1990,272.91,284.10
05/23/1990,276.76,289.35
05/24/1990,272.27,284.01
05/25/1990,261.75,273.88
05/26/1990,283.57,295.54
05/27/1990,273.78,284.99
05/28/1990,275.43,286.63
05/29/1990,261.31,272.30
05/30/1990,264.53,275.74
05/31/1990,261.85,273.00
06/01/1990,250.02,260.95
06/02/1990,273.96,284.90
06/03/1990,275.92,286.90
06/04/1990,272.04,283.25
06/05/1990,279.89,290.99
06/06/1990,265.82,276.74
06/07/1990,263.26,276.81
