PV_scaling_factor,bat_system_kWh,total_net_savings
0,0,168887.17178891995
0,1,168387.17178891995
0,2,167887.17178891995
0,3,167387.17178891995
0,4,166887.17178891995
0,5,166387.17178891995
0,6,165887.17178891995
0,7,165387.17178891995
0,8,164887.17178891995
0,9,164387.17178891995
0,10,163887.17178891995
0,11,163387.17178891995
0,12,162887.17178891995
0,13,162387.17178891995
0,14,161887.17178891995
0,15,161387.17178891995
0,16,160887.17178891995
0,17,160387.17178891995
0,18,159887.17178891995
0,19,159387.17178891995
0,20,158887.17178891995
0,21,158387.17178891995
0,22,157887.17178891995
0,23,157387.17178891995
0,24,156887.17178891995
0,25,156387.17178891995
0,26,155887.17178891995
0,27,155387.17178891995
0,28,154887.17178891995
0,29,154387.17178891995
1,0,488557.3115989333
1,1,495218.16382249235
1,2,501817.1060019394
1,3,508286.9973371865
1,4,514699.66342826723
1,5,521353.0842751649
1,6,527615.585477954
1,7,534126.6238366254
1,8,540974.4369510049
1,9,547719.7360213124
1,10,554301.0890474741
1,11,560724.3712293927
1,12,567292.2985672741
1,13,573802.9494609102
1,14,580455.4423104075
1,15,586981.2523157336
1,16,593516.1458768987
1,17,600126.8669939239
1,18,606712.2628667601
1,19,613373.6526954453
1,20,620006.8116800091
1,21,626583.7438203557
1,22,633202.6963165647
1,23,639665.0755686429
1,24,646243.0415765592
1,25,652894.7359402629
1,26,659426.5058598167
1,27,666037.9177352577
1,28,672726.0403664969
1,29,679290.4497536097
2,0,844813.7362353888
2,1,851677.9308278416
2,2,858442.2225761262
2,3,864939.8794801894
2,4,871479.2111402075
2,5,878388.3567559486
2,6,884766.7075275374
2,7,891389.3458550482
2,8,898214.2469383718
2,9,905236.5467775101
2,10,911985.3253725008
2,11,918504.6299232752
2,12,925098.7252300128
2,13,931666.9832924812
2,14,938408.3305108408
2,15,944985.4372850282
2,16,951702.5172150566
2,17,958390.5855009344
2,18,965082.5021426263
2,19,971746.661540207
2,20,978646.2764935324
2,21,985378.0670027726
2,22,992277.2122678498
2,23,998746.9074887468
2,24,1005327.4790654948
2,25,1012080.4485980864
2,26,1018575.7688865194
2,27,1025082.2335307696
2,28,1031633.700930886
2,29,1038293.7918868638
3,0,1192800.1308129877
3,1,1206838.6799838976
3,2,1219440.3814268438
3,3,1228858.8753727395
3,4,1242277.358261745
3,5,1255901.8952271342
3,6,1253375.4900617655
3,7,1257187.5849787788
3,8,1269597.597102792
3,9,1278419.6003739582
3,10,1252634.1354637323
3,11,1263334.5637842352
3,12,1259506.4809993259
3,13,1270968.852026451
3,14,1282438.4794163308
3,15,1280361.6606960688
3,16,1285334.299160988
3,17,1288238.0619164836
3,18,1284354.3783043465
3,19,1287892.381100487
3,20,1275507.4331839988
3,21,1285852.0478839497
3,22,1278938.9455376193
3,23,1293472.0801004278
3,24,1293942.397565892
3,25,1312197.4045676263
3,26,1328365.109924838
3,27,1326727.7458327264
3,28,1306578.0207192479
3,29,1299093.847173634
4,0,1497690.0491311876
4,1,1517536.8383947713
4,2,1536854.133883616
4,3,1554554.7076016688
4,4,1573580.1431540283
4,5,1590620.6976330783
4,6,1605708.0976503957
4,7,1620036.2064009262
4,8,1639054.4407246904
4,9,1652739.6473856806
4,10,1665702.514943025
4,11,1681357.202743846
4,12,1693944.806379145
4,13,1707861.5569178294
4,14,1715776.3794708624
4,15,1732309.0822082479
4,16,1741894.8687436096
4,17,1746798.108294936
4,18,1752252.504549143
4,19,1766492.7527006892
4,20,1782550.9100698438
4,21,1799160.2364086686
4,22,1815123.7569448343
4,23,1825544.5972398473
4,24,1837132.2456083936
4,25,1855180.0963060488
4,26,1873192.2850776347
4,27,1879651.2386292988
4,28,1896092.7651044982
4,29,1896268.4713742938
5,0,1687942.6169648976
5,1,1706739.7877365886
5,2,1725246.7953299335
5,3,1743702.6094677811
5,4,1759060.6155573041
5,5,1776435.7980231661
5,6,1791849.238633581
5,7,1809435.224350565
5,8,1825660.8788965456
5,9,1843034.0564985317
5,10,1857366.0355885467
5,11,1873842.2161954464
5,12,1885417.103618856
5,13,1896903.2444072026
5,14,1909058.9047666555
5,15,1923739.3944063121
5,16,1936924.977869147
5,17,1946499.2947673053
5,18,1963535.3730034272
5,19,1989422.7756985547
5,20,2001792.45185602
5,21,2009709.6208878376
5,22,2021364.4511975325
5,23,2038362.881599441
5,24,2053054.0863358066
5,25,2067194.0960682093
5,26,2072828.4760813394
5,27,2085420.559204286
5,28,2099172.401619614
5,29,2105067.8045025785
6,0,1797315.0322712483
6,1,1815039.9311377225
6,2,1832429.4086473286
6,3,1848110.6328084157
6,4,1864616.3711164729
6,5,1880659.2250266252
6,6,1896390.15366161
6,7,1912244.5028787735
6,8,1929117.911034215
6,9,1945017.4169648718
6,10,1961321.6452410633
6,11,1973938.711275153
6,12,1990931.6133310788
6,13,2003944.2360088232
6,14,2020717.4944979951
6,15,2037241.8639267972
6,16,2050499.0040158785
6,17,2067446.340952644
